lat,lon,restaurants,shops,bus_stops,hospitals,police_stations,crowd_score,hospital_dist_m,police_dist_m
1427006.02912519,768053.457229976,0,0,0,0,0,0,1589.921487432356,1961.0540615299387
1427256.02912519,768053.457229976,0,0,0,0,0,0,1389.0198560820797,1772.254448774158
1427506.02912519,768053.457229976,0,0,0,0,0,0,1206.6076350584924,1600.3245390096722
1427756.02912519,768053.457229976,0,0,2,0,0,4,1052.3439596313626,1451.2723483596199
1428006.02912519,768053.457229976,0,0,0,0,0,0,940.1880842489876,1332.7956437766336
1428256.02912519,768053.457229976,0,0,0,0,0,0,886.2727899213357,1253.5936450966465
1428506.02912519,768053.457229976,0,0,0,0,0,0,901.1133572121295,1221.331169660147
1428756.02912519,768053.457229976,0,0,0,0,0,0,981.5962036078183,1239.678436103552
1428991.5641774246,768081.2113264777,0,0,0,0,0,0,1082.7684269009624,1275.4243132589843
1429244.3025732178,768123.8902364131,0,0,0,0,0,0,1072.668782788465,1348.5013106383324
1429466.7720103487,768152.5351058621,0,0,0,0,0,0,1094.2075748283617,1454.6175491405447
1429633.2786465138,768177.7716339855,0,0,0,0,0,0,1135.944442443305,1547.915151368203
1432868.5079334143,768137.0162611285,0,0,0,0,0,0,1057.6187979273407,4474.72032345405
1432933.2430224854,768138.5502945705,0,0,0,0,0,0,1047.959296945955,4510.977078543993
1433243.8942535424,768164.5739234821,0,0,0,0,0,0,1038.7412997170425,4288.626498354416
1433381.5154825198,768178.2192772224,0,0,0,0,0,0,1016.5297775008262,4162.043254939678
1436840.4298200402,768116.0311579182,0,0,0,0,0,0,807.8489120662798,2135.706025372307
1437007.8233990148,768055.1097832659,0,0,0,0,0,0,913.6779883887295,2191.188041506926
1437252.9932813824,768057.1266092664,0,0,0,0,0,0,948.1144769286683,2204.4595376217253
1437497.941281157,768089.0357174505,0,0,0,0,0,0,1014.6692706686795,2215.427209026153
1437748.958630971,768119.6814002929,0,0,0,0,0,0,1137.3281455515114,2256.7975901974883
1437934.7063636929,768148.1096499908,0,0,0,0,0,0,1249.6830673482546,2299.6121015528765
1426875.2212294238,768182.9528932177,0,0,0,0,0,0,1636.701982437217,1991.212351275994
1427040.8337825986,768243.1650293289,0,0,0,0,0,0,1462.147390403794,1820.137173392084
1427260.4323151712,768298.8738466491,0,0,0,0,0,0,1243.6271732812156,1609.5319269557656
1427506.02912519,768303.457229976,0,0,0,0,0,0,1037.655149996915,1418.8444193642913
1427756.02912519,768303.457229976,0,0,0,0,0,0,853.3780139576407,1248.3077686684155
1428006.02912519,768303.457229976,0,0,0,0,0,0,710.4786126953112,1108.343396368943
1428256.02912519,768303.457229976,0,1,1,0,0,4,637.4211194246866,1011.7202593757673
1428506.02912519,768303.457229976,0,0,0,0,0,0,657.899314393766,971.4580187471282
1428756.02912519,768303.457229976,0,0,0,0,0,0,764.4326865532072,994.4262069881412
1429006.02912519,768303.457229976,0,0,0,0,0,0,892.0518760336669,1076.5854727338408
1429256.02912519,768303.457229976,0,0,0,0,0,0,896.4290199101027,1205.8976237883019
1429506.02912519,768303.457229976,0,0,0,0,0,0,967.6845694433647,1369.0660605007338
1429748.9646955163,768319.9447584335,0,0,0,0,0,0,1075.322375204755,1539.6857121136743
1429995.6333475232,768357.3935381757,0,0,1,0,0,2,1115.1741422183654,1719.7301604788609
